WHOLE.BRAIN.(Table.5),X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
Macaca radiata,Primata,1,8012,NA,61.47,NA,3755620300,NA,4878879700,NA,43.5,NA,"Gabi et al., 2010"
Sus scrofa domesticus,Artiodactyla,1,100000,NA,64.180000000000007,NA,2224112553,NA,4695783705,NA,32.1,NA,"Kazu et al., 2014"
Hydrochoerus hydrochaeris,Glires,2,47500,"± 3,536",74.733999999999995,±3.756,1572560385,"± 72,641,426",3197929615,"± 974,583,717",33.6,± 5.8,"Herculano-Houzel et al., 2006"
Macaca mulatta,Primata,1,3900,NA,87.346000000000004,NA,6376160000,NA,7162900000,NA,47.1,NA,"Herculano-Houzel et al., 2007"
Antidorcas marsupialis,Artiodactyla,1,25000,NA,106.074,NA,2724595233,NA,5912784575,NA,31.5,NA,"Kazu et al., 2014"
Papio anubis cynocephalus,Primata,2,8000,NA,151.19399999999999,NA,10948086440,NA,9175538564,NA,54.4,NA,"Gabi et al., 2010"
Damaliscus dorcas phillipsi,Artiodactyla,1,60000,NA,154.71799999999999,NA,3058814227,NA,9343246559,NA,24.7,NA,"Kazu et al., 2014"
Tragelaphus stripceros,Artiodactyla,1,218000,NA,306.86,NA,4911651549,NA,16977183580,NA,22.4,NA,"Kazu et al., 2014"
Giraffa camelopardalensis,Artiodactyla,1,470000,NA,537.21799999999996,NA,10751287650,NA,37912932350,NA,23.5,NA,"Kazu et al., 2014"
Homo sapiens,Primata,4,70000,NA,1508.91,± 299.140,86060000000,"± 8,120,000,000",84610000000,"± 9,830,000,000",50.5,NA,"Azevedo et al., 2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,± 3.6,NA,NA
Loxodonta africana,Afrotheria,1,5000000,NA,4618.62,NA,257043473412,NA,216057982337,NA,NA,NA,"Herculano-Houzel et al., 2014"
